FlockID,Chicken,week,weight.kg
6,9,3,0.27
6,10,3,0.32
7,1,3,0.03
7,2,3,0.01
7,3,3,0.02
7,4,3,0.03
7,5,3,0.03
7,6,3,0.02
7,7,3,0.03
7,8,3,0.01
7,9,3,0.04
7,10,3,0.03
8,1,3,0.53
8,2,3,0.4
8,3,3,0.4
8,4,3,0.53
8,5,3,0.4
8,6,3,0.13
8,7,3,0.53
8,8,3,0.27
8,9,3,0.4
8,10,3,0.4
9,1,3,0.16
9,2,3,0.19
9,3,3,0.16
9,4,3,0.16
9,5,3,0.13
9,6,3,0.11
9,7,3,0.16
9,8,3,0.13
9,9,3,0.11
9,10,3,0.13
10,1,3,0.24
10,2,3,0.21
10,3,3,0.19
10,4,3,0.19
10,5,3,0.19
10,6,3,0.19
10,7,3,0.19
10,8,3,0.16
10,9,3,0.16
10,10,3,0.16
11,1,3,0.33
11,2,3,0.33
11,3,3,0.33
11,4,3,0.4
11,5,3,0.4
11,6,3,0.4
11,7,3,0.4
11,8,3,0.27
11,9,3,0.27
11,10,3,0.4
1,1,4,0.32
1,2,4,0.4
1,3,4,0.47
1,4,4,0.47
1,5,4,0.32
1,6,4,0.47
1,7,4,0.32
1,8,4,0.47
1,9,4,0.32
1,10,4,0.4
2,1,4,0.87
2,2,4,0.63
2,3,4,0.47
2,4,4,0.63
2,5,4,0.63
2,6,4,0.55
2,7,4,0.47
2,8,4,0.71
2,9,4,0.55
2,10,4,0.63
3,1,4,0.4
3,2,4,0.47
3,3,4,0.47
3,4,4,0.4
3,5,4,0.4
3,6,4,0.63
3,7,4,0.47
3,8,4,0.4
3,9,4,0.47
3,10,4,0.24
4,1,4,0.63
4,2,4,0.47
4,3,4,0.63
4,4,4,0.47
4,5,4,0.47
4,6,4,0.63
4,7,4,0.63
4,8,4,0.47
4,9,4,0.32
4,10,4,0.63
5,1,4,0.47
5,2,4,0.46
5,3,4,0.43
5,4,4,0.4
5,5,4,0.52
5,6,4,0.41
5,7,4,0.38
5,8,4,0.4
5,9,4,0.44
5,10,4,0.35
6,1,4,0.4
6,2,4,0.47
6,3,4,0.41
6,4,4,0.43
6,5,4,0.38
6,6,4,0.47
6,7,4,0.44
6,8,4,0.32
6,9,4,0.38
6,10,4,0.4
7,1,4,0.04
7,2,4,0.02
7,3,4,0.03
7,4,4,0.02
7,5,4,0.04
7,6,4,0.05
7,7,4,0.06
7,8,4,0.03
7,9,4,0.03
7,10,4,0.05
8,1,4,0.63
8,2,4,0.79
8,3,4,0.79
8,4,4,0.63
8,5,4,0.47
8,6,4,0.63
8,7,4,0.79
8,8,4,0.95
8,9,4,0.63
8,10,4,0.95
9,1,4,0.32
9,2,4,0.54
9,3,4,0.32
9,4,4,0.16
9,5,4,0.28
9,6,4,0.28
9,7,4,0.25
9,8,4,0.24
9,9,4,0.44
9,10,4,0.16
10,1,4,0.66
10,2,4,0.51
10,3,4,0.51
10,4,4,0.51
10,5,4,0.41
10,6,4,0.32
10,7,4,0.32
10,8,4,0.32
10,9,4,0.32
10,10,4,0.28
11,1,4,0.47
11,2,4,0.47
11,3,4,0.47
11,4,4,0.32
11,5,4,0.4
11,6,4,0.4
11,7,4,0.47
11,8,4,0.47
11,9,4,0.36
11,10,4,0.47
1,1,5,0.45
1,2,5,0.45
1,3,5,0.9
1,4,5,0.52
1,5,5,0.45
1,6,5,0.45
1,7,5,0.57
1,8,5,0.3
1,9,5,0.45
1,10,5,0.75
2,1,5,0.67
2,2,5,0.6
2,3,5,0.52
2,4,5,0.72
2,5,5,0.75
2,6,5,0.75
2,7,5,0.82
2,8,5,0.6
2,9,5,0.67
2,10,5,0.6
3,1,5,0.45
3,2,5,0.45
3,3,5,0.37
3,4,5,0.52
3,5,5,0.6
3,6,5,0.45
3,7,5,0.52
3,8,5,0.6
3,9,5,0.3
3,10,5,0.3
4,1,5,0.6
4,2,5,0.45
4,3,5,0.75
4,4,5,0.75
4,5,5,0.45
4,6,5,0.45
4,7,5,0.75
4,8,5,0.9
4,9,5,0.6
4,10,5,0.45
5,1,5,0.45
5,2,5,0.69
5,3,5,0.69
5,4,5,0.67
5,5,5,0.45
5,6,5,0.55
5,7,5,0.45
5,8,5,0.6
5,9,5,0.75
5,10,5,0.64
6,1,5,0.55
6,2,5,0.75
6,3,5,0.45
6,4,5,0.55
6,5,5,0.6
6,6,5,0.63
6,7,5,0.6
6,8,5,0.67
6,9,5,0.64
6,10,5,0.52
7,1,5,0.04
7,2,5,0.03
7,3,5,0.02
7,4,5,0.05
7,5,5,0.04
7,6,5,0.03
7,7,5,0.05
7,8,5,0.06
7,9,5,0.07
7,10,5,0.07
8,1,5,0.9
8,2,5,0.75
8,3,5,1.04
8,4,5,0.75
8,5,5,0.6
8,6,5,1.04
8,7,5,0.9
8,8,5,0.75
8,9,5,0.9
8,10,5,1.04
9,1,5,0.78
9,2,5,0.24
9,3,5,0.3
9,4,5,0.3
9,5,5,0.3
9,6,5,0.42
9,7,5,0.18
9,8,5,0.54
9,9,5,0.45
9,10,5,0.36
10,1,5,0.75
10,2,5,0.72
10,3,5,0.51
10,4,5,0.45
10,5,5,0.45
10,6,5,0.45
10,7,5,0.45
10,8,5,0.42
10,9,5,0.36
10,10,5,0.3
11,1,5,0.45
11,2,5,0.45
11,3,5,0.6
11,4,5,0.75
11,5,5,0.6
11,6,5,0.67
11,7,5,0.45
11,8,5,0.75
11,9,5,0.6
11,10,5,0.67
1,1,6,0.52
1,2,6,1.05
1,3,6,0.52
1,4,6,0.59
1,5,6,0.39
1,6,6,0.79
1,7,6,0.98
1,8,6,0.39
1,9,6,0.85
1,10,6,0.52
2,1,6,1.12
2,2,6,1.18
